Name,URL,YearStarted,YearEnded,Position,SquadHistory,IsActive
Gareth Ainsworth,https://fbref.com/en/players/8ddfb8b9/Gareth-Ainsworth,1998,2017,MF,"Queens Park Rangers, Wycombe Wanderers, Wimbledon, Cardiff City, Preston North End",No
Lionel Ainsworth,https://fbref.com/en/players/2f9d0135/Lionel-Ainsworth,2006,2019,MF,"Motherwell, Shrewsbury Town, Huddersfield Town, Plymouth Argyle, Hereford United, Rotherham United,",No
Phil Airey,https://fbref.com/en/players/e02e762a/Phil-Airey,2011,2012,FW,,No
Emmanuel Airoboma,https://fbref.com/en/players/e70229ff/Emmanuel-Airoboma,2025,2026,DF,Liverpool U21,Yes
Sam Aiston,https://fbref.com/en/players/a480e353/Sam-Aiston,1996,2009,MF,"Shrewsbury Town, Wrexham, Tranmere Rovers, Northampton Town, Sunderland, Stoke City, Burton Albion",No
Korede Aiyegbusi,https://fbref.com/en/players/f24bb682/Korede-Aiyegbusi,2010,2016,"DF,MF","AFC United, Kansas City Wizards",No
Daniel Ajakaiye,https://fbref.com/en/players/d99cc48a/Daniel-Ajakaiye,2016,2025,MF,Horsham FC,No
Joshua Ajala,https://fbref.com/en/players/1efb5369/Joshua-Ajala,2023,2026,FW,West Ham United U21,Yes
Toby Ajala,https://fbref.com/en/players/6186eead/Toby-Ajala,2011,2017,"FW,MF","Torquay United, Dover Athletic, Welling United, AFC Wimbledon, Hayes & Yeading United, Gateshead",No
Kyle Ajayi,https://fbref.com/en/players/a3444d8e/Kyle-Ajayi,2025,2026,MF,Hemel Hempstead Town FC,Yes
Oyindamola Ajayi,https://fbref.com/en/players/d3a6f5a3/Oyindamola-Ajayi,2022,2026,MF,"Doncaster Rovers, Tottenham Hotspur U21",Yes
David Ajiboye,https://fbref.com/en/players/5b1e9f24/David-Ajiboye,2017,2026,MF,"Carlisle United, Sutton United, Peterborough United, Newport County, York City, Brighton & Hove Albi",Yes
Joseph Ajose,https://fbref.com/en/players/eeccc57d/Joseph-Ajose,2019,2025,MF,"Maidenhead United, Reading U23",Yes
Nicky Ajose,https://fbref.com/en/players/9ba0ea6e/Nicky-Ajose,2010,2021,FW,"Swindon Town, Bury, Charlton Athletic, Crewe Alexandra, Peterborough United, Crawley Town, Exeter Ci",No
Ibrahim Akanbi,https://fbref.com/en/players/53d9401d/Ibrahim-Akanbi,2019,2022,FW,"Dagenham & Redbridge, Aldershot Town",No
Saleem Akanbi,https://fbref.com/en/players/79c836a6/Saleem-Akanbi,2021,2022,FW,,No
Demi Akarakiri,https://fbref.com/en/players/a05dac22/Demi-Akarakiri,2025,2026,MF,Everton U21,Yes
Bailey Akehurst,https://fbref.com/en/players/720522a3/Bailey-Akehurst,2021,2023,MF,Gillingham,No
Alex Akers,https://fbref.com/en/players/af729d6f/Alex-Akers,2021,2022,GK,,No
Yusuf Akhamrich,https://fbref.com/en/players/e19dc888/Yusuf-Akhamrich,2022,2026,FW,"Tottenham Hotspur U21, Tottenham Hotspur",Yes
Daniel Akindayini,https://fbref.com/en/players/a42899df/Daniel-Akindayini,2015,2016,FW,,No
John Akinde,https://fbref.com/en/players/93a09a47/John-Akinde,2007,2026,FW,"Braintree Town, Barnet, Colchester United, Gillingham, Lincoln City, Alfreton Town, Crawley Town, Eb",Yes
Sam Akinde,https://fbref.com/en/players/b9f435bf/Sam-Akinde,2013,2017,FW,"Welling United, Alfreton Town",No
Adebayo Akinfenwa,https://fbref.com/en/players/dcb17ca5/Adebayo-Akinfenwa,2003,2022,FW,"Wycombe Wanderers, Northampton Town, AFC Wimbledon, Gillingham, Swansea City, Torquay United, Doncas",No
Olatunji Akinola,https://fbref.com/en/players/f148e802/Olatunji-Akinola,2017,2026,"DF,MF","Woking, West Ham United U23, Partick Thistle, Leyton Orient",Yes
Romeo Akinola,https://fbref.com/en/players/10ac88c6/Romeo-Akinola,2021,2022,MF,,No
Simeon Akinola,https://fbref.com/en/players/e48edc45/Simeon-Akinola,2014,2023,FW,"Braintree Town, Barnet, Southend United, Wealdstone FC",No
Tim Akinola,https://fbref.com/en/players/e8cd04a6/Tim-Akinola,2020,2026,MF,"Woking, Arsenal U23, Chesterfield, Gateshead, Dagenham & Redbridge",Yes
Lance Akins,https://fbref.com/en/players/f218a599/Lance-Akins,2019,2020,DF,,No
James Akintunde,https://fbref.com/en/players/2e13c8c4/James-Akintunde,2014,2025,"FW,MF","Haka, Derry City, Maidenhead United, Chester, Bohemian FC",Yes
Victor Akinwale,https://fbref.com/en/players/e47e2386/Victor-Akinwale,2020,2025,FW,"Crystal Palace U21, Crystal Palace U23",Yes
Femi Akinwande,https://fbref.com/en/players/29932be8/Femi-Akinwande,2013,2021,FW,"Stevenage, Colchester United",No
Dipo Akinyemi,https://fbref.com/en/players/9a7614d9/Dipo-Akinyemi,2014,2025,FW,"Derry City, York City, Ayr United",Yes
Dipo Akinyemi,https://fbref.com/en/players/fd0970a5/Dipo-Akinyemi,2015,2023,FW,"Stevenage, Aldershot Town",No
Travis Akomeah,https://fbref.com/en/players/27737745/Travis-Akomeah,2022,2026,DF,"Gillingham, Chelsea U21",Yes
Ashanti Akpan,https://fbref.com/en/players/f7800955/Ashanti-Akpan,2022,2023,MF,,No
Ashley Akpan,https://fbref.com/en/players/7c31a4b4/Ashley-Akpan,2023,2025,DF,Aldershot Town,Yes
Udoyen Akpan,https://fbref.com/en/players/f076c91f/Udoyen-Akpan,2016,2017,FW,,Yes
Tyron Akpata,https://fbref.com/en/players/e1bfc002/Tyron-Akpata,2023,2026,MF,West Ham United U21,Yes
Chuba Akpom,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,2013,2026,"FW,MF","Ipswich Town, PAOK, Middlesbrough, Ajax, Hull City, Lille, Sint-Truiden, Arsenal, Brighton & Hove Al",Yes
Steve Akrigg,https://fbref.com/en/players/29a137c5/Steve-Akrigg,2014,2015,DF,,No
Alex Akrofi,https://fbref.com/en/players/3d32d4bf/Alex-Akrofi,2015,2021,FW,,No
Jesse Akubuine,https://fbref.com/en/players/93eaa9af/Jesse-Akubuine,2017,2018,MF,,No
Aaron Akyeampong-Ekumah,https://fbref.com/en/players/ab957c4f/Aaron-Akyeampong-Ekumah,2017,2019,DF,,No
James Alabi,https://fbref.com/en/players/1c7b983d/James-Alabi,2012,2023,FW,"Bromley, Chester, Leyton Orient, Maidstone United, Dover Athletic, Scunthorpe United, Tranmere Rover",No
Zane Albarus,https://fbref.com/en/players/128c81a4/Zane-Albarus,2023,2026,MF,Brighton & Hove Albion U21,Yes
Charlie Albinson,https://fbref.com/en/players/298ea5cc/Charlie-Albinson,2017,2025,GK,"Ayr United, Hamilton Academical, Blackburn Rovers U23",Yes
Marc Albrighton,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,2008,2024,"DF,FW","Leicester City, Aston Villa, West Bromwich Albion, Wigan Athletic",No
Mark Albrighton,https://fbref.com/en/players/074b1cca/Mark-Albrighton,2003,2011,DF,"Doncaster Rovers, Stevenage Borough, Cambridge United, Kidderminster Harriers, Rushden & Diamonds, B",No
Shannon Albuery,https://fbref.com/en/players/52a3113d/Shannon-Albuery,2018,2019,FW,Yeovil Town,No
Colin Alcide,https://fbref.com/en/players/164f4c46/Colin-Alcide,2002,2003,FW,Hull City,No
Craig Alcock,https://fbref.com/en/players/86f6cfd2/Craig-Alcock,2006,2020,DF,"Yeovil Town, Peterborough United, Doncaster Rovers, Sheffield United, Cheltenham Town",No
Danny Alcock,https://fbref.com/en/players/77aaf1a0/Danny-Alcock,2003,2010,GK,"Stafford Rangers, Tamworth",No
Todd Alcock,https://fbref.com/en/players/8c66b157/Todd-Alcock,2021,2026,MF,"South Shields FC, Aston Villa U21",Yes
Sam Alderson,https://fbref.com/en/players/3be3256d/Sam-Alderson,2016,2017,MF,,No
Kelly Aldridge,https://fbref.com/en/players/54137442/Kelly-Aldridge,2017,2018,FW,Yeovil Town,No
Paul Aldridge,https://fbref.com/en/players/3fbf1ab0/Paul-Aldridge,2002,2003,FW,,No
Asmita Ale,https://fbref.com/en/players/9b894b48/Asmita-Ale,2020,2026,"DF,MF","Leicester City, Tottenham Hotspur, Aston Villa",Yes
Ryan Alebiosu,https://fbref.com/en/players/ce048fb8/Ryan-Alebiosu,2019,2026,"DF,MF","Blackburn Rovers, Arsenal U23, Kortrijk, Kilmarnock, St Mirren, Crewe Alexandra",Yes
Ajibola Alese,https://fbref.com/en/players/182a8b9d/Ajibola-Alese,2017,2025,DF,"West Ham United U23, Sunderland, Accrington Stanley",Yes
Lewis Alessandra,https://fbref.com/en/players/c9b22fff/Lewis-Alessandra,2007,2023,"FW,MF","Morecambe, Plymouth Argyle, Carlisle United, Notts County, Oldham Athletic, Hartlepool United, York",No
Kyle Alex John,https://fbref.com/en/players/c9093a1a/Kyle-Alex-John,2018,2026,"DF,MF","Port Vale, Everton U23, Everton U21",Yes
Fraser Alexander,https://fbref.com/en/players/cd86a341/Fraser-Alexander,2021,2022,MF,,No
Gary Alexander,https://fbref.com/en/players/de915071/Gary-Alexander,2002,2014,FW,"Leyton Orient, Millwall, Hull City, Brentford, Crawley Town, Swindon Town, AFC Wimbledon, Burton Alb",No
George Alexander,https://fbref.com/en/players/8c6bc7a2/George-Alexander,2018,2024,FW,Bromley,No
Jason Alexander,https://fbref.com/en/players/4e9f0d0e/Jason-Alexander,2024,2025,GK,,Yes
John Alexander,https://fbref.com/en/players/22fc1646/John-Alexander,2002,2004,FW,Darlington,No
Matthew Alexander,https://fbref.com/en/players/246cd0f4/Matthew-Alexander,2019,2021,GK,,No
Megan Alexander,https://fbref.com/en/players/236bda8b/Megan-Alexander,2017,2019,DF,"Yeovil Town, Bristol City",No
Tinaya Alexander,https://fbref.com/en/players/0835cd1b/Tinaya-Alexander,2022,2025,FW,"Washington Spirit, HB Køge, Montpellier",Yes
Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,2016,2026,DF,"Liverpool, England, Real Madrid, Liverpool U23",Yes
Theo Alexandrou,https://fbref.com/en/players/944934a5/Theo-Alexandrou,2022,2024,FW,,No
Zac Aley,https://fbref.com/en/players/4c03e4f5/Zac-Aley,2010,2012,"FW,MF",Southport,No
Ben Algar,https://fbref.com/en/players/807f89e4/Ben-Algar,2007,2011,FW,Chesterfield,No
Mirsad Ali,https://fbref.com/en/players/7c79cc59/Mirsad-Ali,2022,2026,DF,Leicester City U21,Yes
Hasney Aljofree,https://fbref.com/en/players/8250d3dc/Hasney-Aljofree,1997,2010,DF,"Plymouth Argyle, Swindon Town, Dundee United, Bolton Wanderers, Oldham Athletic",No
Sonny Aljofree,https://fbref.com/en/players/bd44b52f/Sonny-Aljofree,2021,2026,DF,"Notts County, Manchester United U21, Accrington Stanley",Yes
Luke Alker,https://fbref.com/en/players/d6f96193/Luke-Alker,2024,2026,FW,Barnsley,Yes
Chris Allan,https://fbref.com/en/players/bd929bce/Chris-Allan,2016,2025,MF,"Charleston Battery, Memphis 901, Atlanta United 2, Sunderland U23",Yes
Jake Allan,https://fbref.com/en/players/eb9b009e/Jake-Allan,2024,2025,MF,,Yes
Jonny Allan,https://fbref.com/en/players/4fd54653/Jonny-Allan,2006,2011,FW,"Northwich Victoria, Gateshead",No
